customer,campaign,year_campaign
eticket,DUPLAT  MOSAICO PIRATA,2024
eticket,ROJUU,2024
Tuboleta,PIPE BUENO 3ER ROUND,2024
Tuboleta,CAMILO NUESTRO LUGAR FELIZ TOUR  2DA FECHA,2024
Tuboleta,VIVE LA SALSA  CALI,2024
Tuboleta,RITVALES 2024,2024
Tuboleta,MAS CERCA DE TI | WORLD TOUR 2025,2025
eticket,JUANES CALI,2024
Tuboleta,SHOW 1995  FRANCO ESCAMILLA,2024
eticket,AVENTURACERRANDO CICLOS,2024
eticket,I LOVE 90'S MEDELLIN,2024
eticket,ZAMNA FESTIVAL CARTAGENA  COMBOS,2023
eticket,EVENTO DE PRUEBA,2025
eticket,MAD TREE PRESENTA: EL ETERNO RETORNO,2024
Tuboleta,ENTONO Sound system,2024
eticket,JUANES BUCARAMANGA,2024
Tuboleta,LLEGÓ EL PODER  BOGOTÁ,2024
eticket,COMUNIÓN 2024,2024
eticket,COMBO 4 DÍAS  FESTIVAL ESTÉREO PICNIC 2024,2024
eticket,SÁBADO 23 DE MARZO 2024  FESTIVAL ESTÉREO PICNIC,2024
Tuboleta,LOS TIGRES DEL NORTE  3RA  FECHA,2024
Tuboleta,THE WORLD IS A VAMPIRE  THE SMASHING PUMPKINS,2024
Tuboleta,LOS TIGRES DEL NORTE  2DA FECHA,2024
Tuboleta,REIK,2025
Tuboleta,MANÁ  MÉXICO LINDO Y QUERIDO LATAM 2024 TOUR  3RA FECHA,2024
eticket,VINO AL PARQUE,2024
eticket,AFTERLIFE 3 DE FEBRERO,2024
eticket,AURORA  WHAT HAPPENED TO THE EARTH? PART 3,2024
Tuboleta,STING,2025
eticket,AFTERLIFE 2 DE FEBRERO  PROMOTORES,2024
eticket,NASA HISTOIRES EN BOGOTÁ  FLOR MORADA TOUR,2024
Tuboleta,LLEGO EL PODER  BUCARAMANGA,2024
Tuboleta,THIS IS REAL  FESTIVAL DE HIP HOP LATINO III,2024
Tuboleta,MONSIEUR PERINÉ | BOLERO APOCALIPTICO TOUR,2024
Tuboleta,VENTURE X DEFINED BY PAUL VAN DYK,2024
eticket,VINO AL PARQUE  COMBO 3 DÍAS,2024
eticket,KNTXT CHARLOTTE DE EITTE,2024
eticket,BVB PACKS 3 DIAS,2023
eticket,THE JUANPIS LIVE SHOW: MAKE COLOMBIA GREAT AGAIN,2024
Tuboleta,HARRY POTTER Y EL CALIZ DE FUEGO EN CONCIERTO,2024
eticket,ZHU,2024
eticket,THE JUANPIS LIVE SHOW: MAKE COLOMBIA GREAT AGAIN TEAMPORADA 2,2024
eticket,FEID EN BOGOTA,2024
Tuboleta,Jonas Brothers,2024
eticket,WOS,2024
eticket,BICEP DJ SET,2024
eticket,JUANPIS LIVE SHOW: SPECIAL EDITION,2024
eticket,CORONA SUNSETS 2024,2024
eticket,BAUM FESTIVAL 2024 COMBO 2 DÍAS  PROMOTORES,2024
eticket,FESTIVAL CORDILLERA 2024  DOMINGO DTO,2024
eticket,THE DRUMS,2024
eticket,FESTIVAL X BY ADRIATIQUE,2024
eticket,OLV 3: OH'LAVILLE EN VIVO EN BOGOTÁ,2024
eticket,BAILE FUNK EXPERIENCE  PAQUETES VIP,2024
Tuboleta,THE BEATLES SYMPHONIC FANTASY,2024
eticket,SILVESTRE Y LA NARANJA,2024
eticket,MACA & GERO   MEET & GREET,2025
Tuboleta,CAPITAL FEST,2024
eticket,PAULA ARENAS,2025
eticket,PARCELS  CONCIERTO DE INAGURACIÓN ESTEREO PICNIC,2025
Tuboleta,PIMPINELA,2024
Tuboleta,VIVE LA SALSA  (COMBO 2 DÍAS) PALCOS & GRADERIA,2024
Tuboleta,MILO J,2025
eticket,GORDO,2023
eticket,GALACTIC EMPIRE,2024
Tuboleta,RYAN CASTRO  EL CANTANTE DEL GHETTO TOUR  CALI,2024
eticket,EXHALE MEDELLIN PROMOTORES,2024
eticket,OH MY DRAG ! AQUARIA,2024
eticket,X BY ADRIATIQUE,2024
Tuboleta,ALVARO DIAZ MEDELLÍN,2025
eticket,FERXXO CALIPSIS TOUR 2024,2024
Tuboleta,CLOSING 2024 con ANOTR y Seth Troxler,2024
Tuboleta,FONSECA TROPICALIA TOUR  2DA FECHA,2025
Tuboleta,Niall Horan  The Show Live On Tour,2024
Tuboleta,MIGUEL MATEOS SINFÓNICO,2024
eticket,BAUM FESTIVAL 2024  24 DE MAYO VIERNES INDIVIDUAL PROMOTORES,2024
eticket,FRANZ FERDINAND,2024
eticket,BUENA VIDA BEACH 2024   PROMOTORES,2023
Tuboleta,ARTBAT,2024
eticket,DRUNK COMEDY TEMPORADA 2,2024
eticket,FESTIVAL ESTÉREO PICNIC VIERNES,2025
Tuboleta,PREMIOS CALIGARIS  EL BARRIO DE GALA,2024
eticket,YSY A,2025
Tuboleta,AIR SUPPLY  The Lost in Love Experience,2024
eticket,TRAVIS BIRDS,2024
Tuboleta,DISCLOSURE,2024
eticket,TURNSTILE,2024
Tuboleta,2024 NCT DREAM WORLD TOUR,2024
eticket,THE WARNING  KEEP ME FED TOUR,2025
Tuboleta,BACILOS  PEQUEÑOS ROMANCES,2025
Tuboleta,PAUL VAN DYK  MEDELLÍN,2024
eticket,RAWYANA,2024
eticket,"QUÉ VERGUENZA CON USTEDES, EL SHOW",2025
Tuboleta,Kylie Minogue,2025
Tuboleta,GILBERTO SANTAROSA AUTENTICO TOUR 2024,2024
eticket,BAUM FESTIVAL 2024  24 DE MAYO  VIERNES INDIVIDUAL,2024
eticket,BRUTALISMUS 3000  BOGOTÁ,2024
eticket,SIDDHARTHA,2024
eticket,BURNING CARAVAN PRESENTA: CONCIERTO FIESTA PARA TRIPULANTES,2024
eticket,GRETA VAN FLEET,2024
eticket,ORIÓN PRESENTA: EL NUDO TOUR,2024
eticket,ANDRES CARNE DE RES PRESENTA: A LA CALLE CON PLANCHANDO EL DESPECHO Y RICARDO TORRES Y SU MARIACHI,2024
eticket,FESTIVAL CORDILLERA 2024  SABADO,2024
Tuboleta,MIRANDA BOGOTÁ,2025
eticket,THE CULT,2025
eticket,CANTEMOS LA TELENOVELA,2024
eticket,COMUNIÓN 2024  FAN DAYS,2024
eticket,THE WILD BRUNCH,2023
Tuboleta,EPIC,2024
eticket,CONQUISTAR EL PLANETA TOUR,2024
Tuboleta,Bring Me The Horizon,2024
Tuboleta,PRIMAVERA PASS GENERAL,2023
eticket,ANDRÉS CEPEDA: NUESTRA VIDA EN CANCIONES  MANIZALES,2024
Tuboleta,MANUEL MEDRANO EN CONCIERTO,2024
Tuboleta,JULIANA,2025
eticket,ANDRÉS CEPEDA: NUESTRA VIDA EN CANCIONES  MEDELLÍN,2024
Tuboleta,ANDRÉ RIEU,2024
Tuboleta,TOTO | DOGZ OF OZ TOUR 2024,2024
eticket,I LOVE 90'S BOGOTA,2024
Tuboleta,ANIME,2025
Tuboleta,JOAQUIN SABINA | HOLA Y ADIOS,2025
eticket,DOMINGO 24 DE MARZO 2024  FESTIVAL ESTÉREO PICNIC,2024
eticket,BAILE FUNK EXPERIENCE,2024
eticket,ISMAEL SERRANO EN BOGOTÁ,2025
Tuboleta,14 CAÑONAZOS FEST,2024
