campaign,campaign_slug,customer,creation_date
César Pinzón,cesar-pinzon-bogota-2024,eticket,1711040552
Comunión,comunion-bogota-2024,eticket,1723214609
The Hall Effect,the-hall-effect-bogota-2024,eticket,1719603272
Vive La Salsa,vive-la-salsa-cali-2024,Tuboleta,1710967426
I LOVE 90'S,i-love-90s-medellin-2024,eticket,1719251107
Entono Sound System,entono-bogota-2024,Tuboleta,1711028241
Primavera Sound 2023,primavera-sound-bogota-2023,Tuboleta,1695047819
Mon Laferte,mon-laferte-bogota-2024,Tuboleta,1710186830
Bresh,bresh-bogota-2024,eticket,1711041452
Pet Shop Boys Primavera,pet-shop-boys-primavera,Tuboleta,1698960312
The Cure Primavera,the-cure-primavera,Tuboleta,1698960048
Franco Bonilla,franco-bonilla-bogota-2024,Tuboleta,1717694929
Toto,toto-bogota-2024,Tuboleta,1715693761
Artbat,artbat,Tuboleta,1701284068
Suena Vol. 2,suenavol2,Tuboleta,1701367759
Festival Zamna Cartagena 2024,zamna-cartagena-2024,eticket,1701441804
The Juanpis Live Show: Make Colombia Great Again,juanpis-live-show-make-colombia-great-again-bogota-2025,eticket,1722011952
MOR Pride Festival,mor-pride-fest-medellin-2024,Tuboleta,1715447338
Turnstile,turnstile-bogota-2024,eticket,1704324173
NASA Histoires,nasa-histoires-bogota-2024,eticket,1727719179
I Love 90s,i-love-90s-medellin,eticket,1701792968
I Love 90s,i-love-90s-bogota,eticket,1701793393
Juan Duque,juan-duque-bogota-2024,eticket,1715897936
SVEN VÄTH E INVITADOS: COCOON 25Y,sven-vath-cocoon-bogota-2024,eticket,1708460632
Charlotte de Witte KNTXT,kntxt-charlotte-de-witte-medellin-2024,eticket,1706117249
Silvestre y La Naranja,silvestre-y-la-naranja-bogota-2024,eticket,1708016236
Bicep,bicep-bogota-2024,eticket,1708014432
Wild Brunch Cartagena,wild-brunch-cartagena-2023,eticket,1701445446
Vive La Salsa,vive-la-salsa-bogota-2024,Tuboleta,1710966432
Greta Van Fleet,greta-van-fleet-bogota-2024,eticket,1706202796
Feid,feid-medellin-2024,eticket,1712619329
Andrea Bocelli,andrea-bocelli,eticket,1730986781
Andrés Suárez,andres-suarez-bogota-2024,eticket,1701440373
Mother Mother,mother-mother-bogota-2024,eticket,1713462127
Miguel Mateos Sinfónico,miguel-mateos-bogota-2024,Tuboleta,1710965181
Slash,slash-bogota-2024,eticket,1701302214
ZHU,zhu-bogota-2024,eticket,1719252341
Páramo Celebra,paramo-celebra-bogota-2024,eticket,1723245977
Show Lyniel,show-lyniel-medellin-2024,eticket,1726668914
Camilo,camilo-bogota-2024-2,Tuboleta,1723834408
Franco Escamilla Show 1995,franco-escamilla-medellin-2024,Tuboleta,1715190835
Paula Arenas,paula-arenas-bogota-2024,eticket,1723512839
Planchando el Despecho con Ricardo Torres y su Mariachi,planchando-el-despecho-con-ricardo-torres-y-su-mariachi-bogota-2024,eticket,1716240747
